,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
68,I Can Change,This Is Happening (Deluxe Edition),LCD Soundsystem,2010-12-03,355813,30,0.645,0.00208,0.645,0.728,0.00151,0.237,-6.567,0.0287,116.982,4
69,After the Disco,After the Disco,Broken Bells,2014-01-13,219293,53,0.729,0.00226,0.729,0.74,0.0305,0.13,-5.444,0.0258,115.984,4
70,Found a Job,More Songs About Buildings and Food,Talking Heads,1978-07-14,299160,28,0.703,0.336,0.703,0.642,0.0571,0.112,-12.305,0.0355,121.346,4
71,Run,Freedom Is Free,Chicano Batman,2017-03-03,288333,0,0.407,0.304,0.407,0.706,0.346,0.157,-3.557,0.0517,94.428,3
72,"Holst: The Planets, Op. 32: IV. Jupiter, the Bringer of Jollity (Excerpt)",50 Best Classics,Various Artists,2010-02-26,288493,31,0.293,0.966,0.293,0.296,0.81,0.15,-12.106,0.0376,127.151,4
73,Overnight,Overnight,Parcels,2017-06-21,219602,0,0.81,0.343,0.81,0.818,0.0548,0.113,-9.599,0.0511,119.982,4
74,Hollywood (feat. Snoop Dogg & Jamie Principle),The Now Now,Gorillaz,2018-06-29,293493,57,0.685,0.0249,0.685,0.631,7.67e-05,0.211,-10.338,0.0926,104.126,4
75,Nanã,Caravelle,Polo & Pan,2017-05-19,190826,68,0.685,0.191,0.685,0.735,0.038,0.188,-6.337,0.0334,94.035,3
76,"Pavane, Op. 50","Faure: Requiem, Op. 48 / Pavane, Op. 50",Gabriel Fauré,2005-01-01,275680,47,0.124,0.978,0.124,0.0179,0.639,0.114,-32.271,0.0404,96.272,4
77,Star Treatment,Tranquility Base Hotel & Casino,Arctic Monkeys,2018-05-11,354640,56,0.581,0.243,0.581,0.767,0.00131,0.141,-5.026,0.0527,120.07,4
78,Richard Cory,Sounds Of Silence,Simon & Garfunkel,1966-01-17,175666,41,0.563,0.232,0.563,0.586,0.0,0.268,-10.929,0.0407,80.665,4
79,Mr Magic (Through The Smoke),Frank (US e-Version),Amy Winehouse,2003,235666,0,0.85,0.0173,0.85,0.542,0.0176,0.106,-7.322,0.0499,99.526,4
80,Martha My Dear - Remastered 2009,The Beatles (Remastered),The Beatles,1968-11-22,148573,54,0.472,0.872,0.472,0.292,0.0007,0.128,-11.591,0.0321,177.624,4
81,other voices,american dream,LCD Soundsystem,2017-10-06,403346,35,0.722,0.00198,0.722,0.684,0.629,0.0759,-10.322,0.0577,124.332,4
82,Older,Older,Parcels,2016-11-25,207192,0,0.746,0.366,0.746,0.765,0.00156,0.0799,-5.487,0.054,154.971,5
83,Agitations tropicales,Odyssée - EP,L'Impératrice,2015-10-12,248892,63,0.76,0.564,0.76,0.401,0.259,0.0977,-9.537,0.0674,115.989,4
84,Diving Woman,Soft Sounds from Another Planet,Japanese Breakfast,2017-07-14,392600,53,0.463,0.000127,0.463,0.746,0.626,0.117,-6.722,0.0383,120.032,4
85,Violin Concerto BWV 1042 in E Major: Violin Concerto BWV 1042 in E Major: I. Allegro,Bach: Violin Concertos,Johann Sebastian Bach,2013-03-25,453506,53,0.441,0.829,0.441,0.319,0.0,0.0765,-13.99,0.0392,99.419,4
86,Daydream,Daydream,The Lovin' Spoonful,1966-03,139093,57,0.822,0.834,0.822,0.332,0.0,0.11,-11.369,0.0506,110.802,4
87,Time Is The Enemy,The 5th Exotic,Quantic,2001-01-01,219846,0,0.182,0.00637,0.182,0.849,0.942,0.302,-9.809,0.0381,165.928,4
88,Smokebelch II,Sabresonic II,The Sabres Of Paradise,1995-07-27,763640,27,0.544,0.00546,0.544,0.654,0.843,0.223,-10.846,0.036,127.894,4
89,Finding My Way,Rush,Rush,1974-01-01,305933,44,0.316,0.0553,0.316,0.795,0.0797,0.175,-8.97,0.0453,140.955,4
90,Shades of Blue,There's a Riot Going On,Yo La Tengo,2018-03-16,171400,0,0.695,0.859,0.695,0.445,0.264,0.102,-8.605,0.0278,124.014,3
91,Everybody's Gotta Live,Found Love: The Lost '71 Sessions,Love,1971,243373,50,0.484,0.766,0.484,0.521,0.00279,0.103,-7.321,0.0389,96.295,3
92,Queen Bee,Señor Blues,Taj Mahal,1997-06-16,280080,51,0.635,0.417,0.635,0.454,4.02e-05,0.0816,-9.457,0.0393,79.097,4
93,Withorwithout,Parcels,Parcels,2018-10-12,205048,58,0.803,0.642,0.803,0.662,0.901,0.151,-8.073,0.0308,105.012,4
94,Cities,Fear of Music,Talking Heads,1979-08-03,250306,30,0.622,0.0882,0.622,0.783,0.0633,0.294,-13.366,0.0409,130.511,4
95,american dream,call the police / american dream,LCD Soundsystem,2017-05-05,373080,0,0.337,0.0365,0.337,0.462,0.0152,0.0782,-9.955,0.0294,199.991,3
96,Passed You By,Freedom Is Free,Chicano Batman,2017-03-03,207732,0,0.336,0.166,0.336,0.795,0.163,0.238,-1.78,0.0278,82.508,4
97,call the police,call the police / american dream,LCD Soundsystem,2017-05-05,421186,0,0.389,0.000101,0.389,0.733,0.00755,0.0791,-6.937,0.0431,151.012,4
98,3WW,3WW,alt-J,2017-03-06,300106,0,0.642,0.702,0.642,0.128,0.0332,0.0602,-16.149,0.0477,77.885,4
99,In The Morning I’ll Be Better,In The Morning I’ll Be Better,Tennis,2016-12-02,213173,15,0.343,0.632,0.343,0.607,0.00808,0.0824,-5.048,0.0357,155.579,3
