,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
57,"Serenade in D, K.250 ""Haffner"": 4. Rondo (Allegro)",Mozart: The Great Serenades,Wolfgang Amadeus Mozart,1999-01-01,440506,45,0.949,0.387,0.144,0.457,0.171,-23.357,0.0387,140.816,4
58,"Piano Sonata No.15 In F, K.533/494: 1. Allegro, K.533 - 2002 Recording","Mozart: Piano Sonatas K.310, K.311 & K.533/494",Wolfgang Amadeus Mozart,2003-01-01,494000,45,0.992,0.292,0.14,0.91,0.1,-22.971,0.036,85.169,4
59,"Piano Sonata No. 11 in A Major, K. 331: III. Rondo alla turca: Allegretto","Mozart: Piano Sonatas, Vol. 4 (Piano Sonatas Nos. 3, 7, 11 and 18)",Wolfgang Amadeus Mozart,1991-10-16,197866,47,0.992,0.485,0.199,0.913,0.13,-20.257,0.0372,135.792,4
60,"Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": II. Romanze: Andante",Mozart: Kleine Nachtmusik (Eine) / Serenata Notturna / Divertimento No. 10,Wolfgang Amadeus Mozart,1988-02-05,363973,53,0.937,0.323,0.0346,0.828,0.097,-22.295,0.0444,143.341,4
61,"Serenade No. 12 in C Minor, K. 388: II. Andante",Mozart: Wind Serenades,Wolfgang Amadeus Mozart,2002-03-14,251200,49,0.995,0.156,0.0282,0.924,0.115,-24.382,0.038,76.728,3
62,"Sonata for 2 pianos in D, K.448: 1. Allegro con spirito",Mozart: Music for 2 Pianos; Piano Duets (2 CDs),Wolfgang Amadeus Mozart,1991-01-01,500500,0,0.991,0.377,0.173,0.909,0.103,-21.377,0.0329,132.187,4
63,"Die Zauberflöte, K. 620: Act II: Pa-Pa-Pa-Pa-Pa-Pa-Papagena!",Mozart: Zauberflöte (Die) (The Magic Flute),Wolfgang Amadeus Mozart,1994-01-25,150120,44,0.975,0.473,0.194,0.106,0.131,-19.132,0.0441,109.963,4
64,"String Quintet No. 3 in C Major, K. 515: I. Allegro","Mozart: String Quintets, K. 174 and K. 515",Wolfgang Amadeus Mozart,1994-10-07,586400,44,0.91,0.176,0.0709,0.874,0.115,-22.744,0.0442,76.674,4
65,"Don Giovanni, K. 527: Overture",Mozart: Don Giovanni,Wolfgang Amadeus Mozart,2001-12-05,354240,44,0.906,0.31,0.125,0.904,0.258,-17.338,0.0363,129.938,4
66,"Oboe Concerto in C Major, K. 314: I. Allegro aperto - Cadenza: Randall Wolfgang",Mozart: Horn Concertos Nos.2 & 3; Oboe Concerto; Bassoon Concerto,Wolfgang Amadeus Mozart,1988-01-01,432826,46,0.952,0.521,0.11,0.931,0.0669,-19.175,0.0434,120.767,4
67,"Violin Concerto No. 3 in G Major, K. 216: III. Rondeau. Allegro",Mozart: Violin Concertos Nos. 3 and 5,Wolfgang Amadeus Mozart,1990-12-29,399546,44,0.981,0.442,0.0802,0.529,0.124,-21.277,0.0468,118.977,3
68,"Divertimento in B-Flat Major, K. Anh. 227: I. Allegro",Mozart: Wind Serenades,Wolfgang Amadeus Mozart,2002-03-14,183933,43,0.994,0.499,0.266,0.891,0.11,-21.114,0.0514,175.392,3
69,"Ein Musikalischer Spass (A Musical Joke), K. 522: IV. Presto",Mozart: Night Music,Wolfgang Amadeus Mozart,2003-01-10,249026,44,0.905,0.402,0.133,0.000931,0.0789,-24.175,0.0374,130.79,4
70,"Sonata For Piano And Violin In E Minor, K.304: 2. Tempo di minuetto","Mozart: Violin Sonatas K.301, 304, 376 & 526",Wolfgang Amadeus Mozart,2005-01-01,337586,51,0.968,0.35,0.118,0.0607,0.118,-21.192,0.0415,124.135,3
71,"Symphony No. 6 in F Major, K. 43: IV. Allegro","Mozart: Symphonien Nos. 6, 8, 38, ""Prague""",Wolfgang Amadeus Mozart,2010-08-01,164466,43,0.959,0.508,0.128,0.947,0.215,-23.332,0.0374,92.727,3
72,"Oboe Concerto in C Major, K. 314: III. Rondo (Allegretto) - Cadenza: Randall Wolfgang",Mozart: Horn Concertos Nos.2 & 3; Oboe Concerto; Bassoon Concerto,Wolfgang Amadeus Mozart,1988-01-01,338093,43,0.966,0.548,0.136,0.91,0.0856,-19.919,0.0425,117.692,4
73,"Mozart: Zaide, K. 344/336b, Act 1 Scene 3: No. 3, Arie, ""Ruhe sanft, mein holdes Leben"" (Zaide)",Mozart Heroines,Wolfgang Amadeus Mozart,2000-11-01,381506,48,0.96,0.229,0.109,0.0179,0.181,-22.478,0.0593,166.41,4
74,"String Quartet No.19 In C, K.465 - ""Dissonance"": 3. Allegretto","Mozart: The ""Haydn"" Quartets",Wolfgang Amadeus Mozart,1991-01-01,282000,43,0.943,0.353,0.0815,0.529,0.392,-18.823,0.0516,178.427,3
75,"Piano Concerto No.20 in D minor, K.466: 1. Allegro","Mozart: Piano Concertos No.20 in D minor, K.466 & No.27 in B flat, K.595",Wolfgang Amadeus Mozart,2010-01-01,918413,45,0.981,0.327,0.0775,0.801,0.0786,-24.232,0.0401,128.069,4
76,"Sonata For Piano And Violin In E Minor, K.304: 1. Allegro","Mozart: Violin Sonatas K.301, 304, 376 & 526",Wolfgang Amadeus Mozart,2005-01-01,423026,41,0.974,0.382,0.158,0.516,0.186,-20.189,0.0416,86.059,4
77,"Piano Sonata No. 8 in A Minor, K. 310: II. Andante cantabile con espressione",Glenn Gould plays Mozart: The Piano Sonatas (No. 10: Recordings of 1958 & 1970); Fantasias K. 397 & K. 475; Fantasia & Fugue K. 394; Piano Concerto No. 24 K. 491,Wolfgang Amadeus Mozart,1958,379573,45,0.975,0.254,0.0596,0.93,0.0977,-28.84,0.0422,77.328,4
78,"Clarinet Concerto in A Major, K. 622: III. Rondo (Allegro)",Mozart: Clarinet Concerto K.622; Flute & Harp Concerto K.299,Wolfgang Amadeus Mozart,1984-01-01,578000,44,0.984,0.349,0.105,0.795,0.0612,-19.46,0.0352,114.187,4
79,"Piano Concerto No.20 in D minor, K.466: 2. Romance - Live At Severance Hall, Cleveland / 2010","Mozart: Piano Concertos No.20 in D minor, K.466 & No.27 in B flat, K.595",Wolfgang Amadeus Mozart,2010-01-01,575760,54,0.988,0.209,0.0314,0.84,0.102,-26.249,0.0343,81.629,4
80,"String Quartet No.19 In C, K.465 - ""Dissonance"": 1. Adagio - Allegro","Mozart, W.A.: String Quartets K. 458 ""Hunt""; K. 465 ""Dissonance"" / Haydn, J.: String Quartet, Op.76 No.3 ""Emperor""",Emerson String Quartet,1989-01-01,630320,43,0.942,0.29,0.12,0.503,0.11,-18.045,0.0396,147.958,4
81,"Violin Concerto No. 4 in D Minor, Op. 31: 2. Adagio religioso","Mozart: Violin Concerto No.5 In A, K.219 / Vieuxtemps: Violin Concerto No.4 In D Minor, Op.31 (Bonus Track Version)",Hilary Hahn,2014-02-09,376920,39,0.884,0.0941,0.0957,0.258,0.103,-24.472,0.0469,66.019,4
82,"Mozart: Horn Concerto No. 4 in E-Flat Major, K. 495: II. Romance. Andante cantabile",Mozart Horn Concertos,Wolfgang Amadeus Mozart,1987,282493,45,0.993,0.143,0.0205,0.894,0.111,-24.87,0.0438,84.44,4
83,"Quintet in A Major for Clarinet and Strings, K. 581: II. Larghetto","Mozart, Schubert, Ravel and Janácek: Chamber Music Selections",Endres Quartet,2010-12-28,421059,57,0.982,0.095,0.0445,0.88,0.106,-23.086,0.0479,74.48,4
84,"Mass In C, K.317 ""Coronation"": 2. Gloria","Mozart: Coronation Mass ; Exsultate, jubilate; Vesperae Solennes",Wolfgang Amadeus Mozart,1994-01-01,269826,42,0.956,0.311,0.277,0.251,0.0676,-14.631,0.0549,137.587,3
85,"Mozart: Piano Concerto No. 21 in C Major, K. 467: II. Andante",Amadeus - Best of Mozart,Wolfgang Amadeus Mozart,2019-05-17,406866,51,0.983,0.11,0.0108,0.944,0.0755,-34.892,0.0377,66.038,4
86,"Mozart: String Quartet No. 19 in C Major, Op. 10 No. 6, K. 465 ""Dissonance"": II. Andante cantabile",Mozart String Quartets,Wolfgang Amadeus Mozart,2011-09-05,494731,43,0.944,0.144,0.0572,0.222,0.226,-19.174,0.0479,85.499,4
87,"Violin Concerto No. 4 in D Major, K. 218: 1. Allegro",Mozart: Violin & Wind Concertos,Wolfgang Amadeus Mozart,2000-01-01,572000,42,0.94,0.417,0.2,0.237,0.114,-19.13,0.0417,120.201,4
88,"Divertimento in D Major, K. 136 ""Salzburg Symphony No. 1"": I. Allegro","Doderer, J.: Mon Cher Cousin / Stamitz, C.: Cello Concerto No. 1 / Mozart, W.A.: Divertimento, ""Salzburg Symphony No. 1""",Ulf Schirmer,2007-01-01,250000,42,0.773,0.434,0.15,0.905,0.11,-21.355,0.0424,137.118,4
89,Fratres,Arvo Pärt: Tabula Rasa,Arvo Pärt,1984-01-01,688413,0,0.938,0.322,0.0458,0.000462,0.0494,-23.372,0.0539,155.221,3
90,"Piano Concerto in A Minor, Op.16: I. Allegro molto moderato",Grieg: Piano Concerto & Lyric Pieces,Edvard Grieg,2015-05-18,820853,56,0.975,0.303,0.119,0.88,0.112,-18.055,0.0386,94.868,4
91,"Violin Concerto No.1 in G minor, Op.26: 1. Vorspiel (Allegro moderato)",Bruch & Dvorak Violin Concertos,Julia Fischer,2013-01-01,473893,42,0.864,0.169,0.0974,0.632,0.087,-21.414,0.042,170.379,5
92,"Symphony No. 5 in E Minor, Op. 64: IV. Andante maestoso - Allegro vivace",Tchaikovsky: Symphony No. 5,Pyotr Ilyich Tchaikovsky,1984-11-01,681773,26,0.959,0.279,0.302,0.898,0.114,-15.506,0.0396,139.347,4
93,Barber: Adagio for Strings,Samuel Barber - Adagio (100th anniversary),Samuel Barber,2010-01-18,537426,59,0.974,0.102,0.0733,0.859,0.28,-24.133,0.0488,73.954,3
94,"Holst: The Planets, Op. 32: I. Mars, the Bringer of War","Holst: The Planets, Op. 32",Gustav Holst,1974-01-01,425560,25,0.813,0.204,0.406,0.853,0.155,-14.309,0.0404,159.574,5
95,The Frog Galliard (P 23a),My favorite Dowland,John Dowland,2014-05-19,119600,26,0.97,0.349,0.0817,0.872,0.101,-30.501,0.0487,105.606,3
96,Etude No. 2,Etudes for Piano Vol 1 No. 1-10,Philip Glass,2001-05-01,295560,53,0.992,0.235,0.166,0.87,0.101,-19.632,0.0347,101.182,4
97,"Bagatelle No. 25 in A Minor, ""Für Elise"", WoO 59","Beethoven: Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""",Ludwig van Beethoven,2019-01-18,203655,62,0.986,0.23,0.0487,0.945,0.0679,-27.675,0.0412,134.839,5
