,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
89,Dedicated To You,Ella Fitzgerald: The Voice Of Jazz,Ella Fitzgerald,2013-01-01,195933,0,0.759,0.99,0.759,0.0409,1.69e-05,0.0755,-13.501,0.0518,106.416,4
90,Fly Me to the Moon,The Collection,Astrud Gilberto,2014-04-02,142000,0,0.579,0.468,0.579,0.313,0.00581,0.084,-13.696,0.0301,132.996,4
91,Willow Weep for Me - 2004 Remaster,Triple Best Of,Nina Simone,2010-10-29,194186,8,0.352,0.701,0.352,0.33,0.0,0.335,-11.688,0.0383,109.245,4
92,Strange Fruit,Extraordinary,Billie Holiday,2012-07-20,184173,0,0.453,0.974,0.453,0.109,3.47e-06,0.072,-11.08,0.0431,112.941,5
93,A-tisket A-tasket,Jazz Infusion - Mildred Bailey,Mildred Bailey,2013-11-01,184253,0,0.653,0.862,0.653,0.301,0.000142,0.263,-12.435,0.394,180.33,4
94,All of Me,Billie Holiday Love Songs,Billie Holiday,1996-01-30,181826,49,0.507,0.978,0.507,0.0677,2.74e-05,0.132,-13.766,0.0406,105.393,5
95,Easy Living,Billie Holiday: Verve Ultimate Cool,Billie Holiday,2013-01-01,192933,9,0.443,0.983,0.443,0.0559,5.09e-05,0.0802,-17.374,0.0498,74.359,4
96,Don’t Explain,Crying,Dinah Washington,2013-12-06,150651,0,0.294,0.715,0.294,0.234,0.00285,0.147,-14.343,0.0435,99.981,5
97,They Can’t Take That Away from Me,Louis Armstrong & Friends,Various Artists,2007-09-11,278466,0,0.509,0.862,0.509,0.324,0.0,0.111,-11.779,0.0849,105.994,4
98,Speak Low,In Person,Billie Holiday,2014-03-26,265933,0,0.616,0.896,0.616,0.266,0.00105,0.103,-13.477,0.0524,116.696,4
99,Lousiana Fairy Tale,Joan Chamorro Presenta Andrea Motis,Joan Chamorro,2010-09-13,223333,35,0.664,0.942,0.664,0.218,4.12e-05,0.0911,-10.481,0.0418,110.661,4
